dataset,task,thermometer_type,thermometer_size,address_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
GPS_Tracker,binary,Distributive,16,8,0.8729574813927624,0.8595788780002747,0.8695497938878578,,0.20902,108.0799,17.9
GPS_Tracker,binary,Distributive,16,16,0.8729574813927624,0.8595788780002747,0.8695497938878578,,0.17173,57.7166,14.75
GPS_Tracker,binary,Distributive,32,4,0.8793737702113098,0.8687540122762514,0.8773424420769647,,1.44889,1397.3377,100.41
GPS_Tracker,binary,Distributive,32,8,0.8793737702113098,0.8687540122762514,0.8773424420769647,,0.98727,557.9548,72.05
GPS_Tracker,binary,Distributive,32,16,0.8793737702113098,0.8687540122762514,0.8773424420769647,,0.67444,266.6963,57.88
GPS_Tracker,binary,Gaussian,8,4,0.8021216528359997,0.795715133081035,0.8040374188883298,,0.04693,19.1148,4.19
GPS_Tracker,binary,Gaussian,8,8,0.8021216528359997,0.795715133081035,0.8040374188883298,,0.0386,11.0282,3.3
GPS_Tracker,binary,Gaussian,8,16,0.6150226708871589,0.3808136455132959,0.4684180507477259,,0.03459,6.4954,2.85
GPS_Tracker,binary,Gaussian,16,4,0.8392505774659936,0.8322125146250251,0.8401178408486526,,0.18656,178.4558,16.92
GPS_Tracker,binary,Gaussian,16,8,0.8392505774659936,0.8322125146250251,0.8401178408486526,,0.1456,68.0827,12.54
GPS_Tracker,binary,Gaussian,16,16,0.8392505774659936,0.8322125146250251,0.8401178408486526,,0.12171,39.965,10.35
GPS_Tracker,binary,Gaussian,32,4,0.857986140816152,0.8491368559463143,0.8575422699396006,,0.77538,860.5579,55.25
GPS_Tracker,binary,Gaussian,32,8,0.857986140816152,0.8491368559463143,0.8575422699396006,,0.52777,310.5982,39.67
GPS_Tracker,binary,Gaussian,32,16,0.857986140816152,0.8491368559463143,0.8575422699396006,,0.40426,136.4582,31.88
GPS_Tracker,multiclass,Distributive,8,4,0.5488065702797502,0.3071263729003666,0.49907799168639994,,0.05916,363.7205,16.73
GPS_Tracker,multiclass,Distributive,8,8,0.5482932671742664,0.3060556209742172,0.49879760813766105,,0.0485,160.961,12.98
GPS_Tracker,multiclass,Distributive,8,16,0.0943622208914364,0.09032480065700628,0.05268552050767469,,0.04185,35.6369,11.11
GPS_Tracker,multiclass,Distributive,16,4,0.556506116862007,0.3255679406354218,0.5143861440980575,,0.22619,53750.6829,56.69
GPS_Tracker,multiclass,Distributive,16,8,0.556506116862007,0.3255679406354218,0.5143861440980575,,0.19966,842.5397,41.85
GPS_Tracker,multiclass,Distributive,16,16,0.5553939601334588,0.3255962029355189,0.5144732061993404,,0.15282,410.745,34.43
GPS_Tracker,multiclass,Distributive,32,4,0.5802891607494225,0.37706884834819054,0.5675962535428152,,1.33907,8428.4606,222.62
GPS_Tracker,multiclass,Distributive,32,8,0.5804602617845838,0.37705691397479013,0.5674538681221225,,0.89105,3721.0116,159.53
GPS_Tracker,multiclass,Distributive,32,16,0.5808024638549063,0.37722163492957805,0.56775310519622,,0.6331,1744.5013,127.99
GPS_Tracker,multiclass,Gaussian,8,4,0.5298999058944307,0.27716062780822875,0.45396850752179946,,0.03645,209.7626,10.68
GPS_Tracker,multiclass,Gaussian,8,8,0.5298999058944307,0.27716062780822875,0.45396850752179946,,0.03176,93.7878,8.34
GPS_Tracker,multiclass,Gaussian,8,16,0.09898194884079049,0.09571361639790313,0.05767741809016351,,0.02838,21.4876,7.18
GPS_Tracker,multiclass,Gaussian,16,4,0.5610402942937804,0.3045243146641138,0.48377656702416255,,0.17363,1522.0794,39.33
GPS_Tracker,multiclass,Gaussian,16,8,0.5610402942937804,0.3045243146641138,0.48377656702416255,,0.11701,605.6099,29.09
GPS_Tracker,multiclass,Gaussian,16,16,0.5610402942937804,0.3045243146641138,0.48377656702416255,,0.09824,281.9037,23.97
