dataset,task,thermometer_type,thermometer_size,address_size,hash_mode,num_hashes,filter_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Fridge,binary,Distributive,16,4,murmur,4,16,0.5790220293724967,0.47728472932956156,0.5347055924519596,0.5001823742502525,0.03131,3.1964,0.1
Fridge,binary,Distributive,16,4,murmur,4,64,0.549148865153538,0.49812857244339404,0.5379727371769899,0.5018232674149297,0.03071,2.9862,0.1
Fridge,binary,Distributive,16,4,murmur,4,256,0.5568257676902537,0.49289777900433474,0.5377300042073387,0.49726612328523073,0.03385,3.424,0.1
Fridge,binary,Distributive,16,4,murmur,4,1024,0.546979305740988,0.49806707121733773,0.5370818019894769,0.501303491893818,0.02946,2.9936,0.1
Fridge,binary,Distributive,16,4,murmur,8,16,0.5423898531375166,0.4966096655163492,0.5344093555721223,0.4981874220559416,0.03113,3.0523,0.1
Fridge,binary,Distributive,16,4,murmur,8,64,0.6048064085447263,0.44781154791989536,0.5211249538830401,0.5040962052378408,0.03336,3.0132,0.1
Fridge,binary,Distributive,16,4,murmur,8,256,0.5797730307076101,0.4735055762600673,0.5324026944011274,0.49883437258744584,0.03325,3.1616,0.1
Fridge,binary,Distributive,16,4,murmur,8,1024,0.5730140186915887,0.4748626133010749,0.5313929730164374,0.4961252449670408,0.01894,1.5999,0.1
Fridge,binary,Distributive,16,4,simhash,2,16,0.5725967957276369,0.4723277187712334,0.5296023982578161,0.4947279529663282,0.04324,3.494,0.1
Fridge,binary,Distributive,16,4,simhash,2,64,0.5470627503337784,0.49607470778614315,0.5359876980700213,0.4999147217768276,0.04357,3.4305,0.1
Fridge,binary,Distributive,16,4,simhash,2,256,0.5941255006675568,0.4545612224499041,0.5232612894577358,0.4991171684779381,0.04315,3.4664,0.1
Fridge,binary,Distributive,16,4,simhash,2,1024,0.5978805073431241,0.44329526839841793,0.5163407716463996,0.49751618267118,0.04559,3.4908,0.1
Fridge,binary,Distributive,16,4,simhash,4,16,0.5745994659546061,0.4765801651552934,0.5329800096568648,0.4953998159035572,0.04848,3.6714,0.1
Fridge,binary,Distributive,16,4,simhash,4,64,0.5856141522029372,0.4797464355281192,0.5381832217947964,0.5045742621295801,0.09341,7.3156,0.1
Fridge,binary,Distributive,16,4,simhash,4,256,0.5962950600801068,0.4616069241371062,0.5286588756976524,0.5029363976483164,0.09565,7.1982,0.1
Fridge,binary,Distributive,16,4,simhash,4,1024,0.5796061415220294,0.4758445017013868,0.5339136564697284,0.49943381435952255,0.09231,7.3202,0.1
Fridge,binary,Distributive,16,4,simhash,8,16,0.5773531375166889,0.4715142474146439,0.530403534765847,0.49675417186293724,0.10072,7.7757,0.1
Fridge,binary,Distributive,16,4,simhash,8,64,0.5580774365821095,0.498189895216711,0.5413552148868436,0.5041745353049469,0.09807,7.7123,0.1
Fridge,binary,Distributive,16,4,simhash,8,256,0.5967122830440588,0.45846729959939214,0.5265966192689024,0.4995173703901657,0.1001,7.9499,0.1
Fridge,binary,Distributive,16,4,simhash,8,1024,0.6182409879839786,0.40548913138063664,0.49404423531484953,0.5013011758417958,0.0989,7.9881,0.1
Fridge,binary,Distributive,16,4,h3,2,16,0.5408878504672897,0.4903428361272406,0.53030741556304,0.49313064908842574,0.03858,3.8645,0.1
Fridge,binary,Distributive,16,4,h3,2,64,0.5569926568758344,0.4986218002277213,0.5412186787403086,0.5032337430963834,0.02974,2.9061,0.1
Fridge,binary,Distributive,16,4,h3,2,256,0.5775200267022697,0.4687294274911101,0.5285913393565167,0.4955685610784488,0.03315,3.556,0.1
Fridge,binary,Distributive,16,4,h3,2,1024,0.5699265687583445,0.4956114287864558,0.5438193369769158,0.5065418819407328,0.03062,3.0151,0.1
Fridge,binary,Distributive,16,4,h3,4,16,0.5378838451268357,0.5002655315474127,0.5344057528737504,0.5006047865075123,0.03135,3.3401,0.1
Fridge,binary,Distributive,16,4,h3,4,64,0.5452269692923899,0.5021267143342177,0.5386018024780593,0.5031613516242057,0.03073,3.1431,0.1
Fridge,binary,Distributive,16,4,h3,4,256,0.5548230974632844,0.49584106953738044,0.5387789498327934,0.5006992695528238,0.03385,2.9837,0.1
Fridge,binary,Distributive,16,4,h3,4,1024,0.5911214953271028,0.4495237328863448,0.5190412918075725,0.50033900469149,0.03113,3.0451,0.1
Fridge,binary,Distributive,16,4,h3,8,16,0.5635847797062751,0.4986121428421721,0.5435538091385288,0.5046181483461013,0.03572,3.419,0.1
Fridge,binary,Distributive,16,4,h3,8,64,0.6003004005340454,0.4479206098600609,0.520141273038455,0.5005168953025714,0.03659,3.4906,0.1
Fridge,binary,Distributive,16,4,h3,8,256,0.575851134846462,0.4684420648950609,0.5279387540977675,0.49458679256487925,0.01685,1.5543,0.1
Fridge,binary,Distributive,16,4,h3,8,1024,0.5654205607476636,0.48385392856268616,0.5349443631638559,0.49857286655977195,0.01783,1.5845,0.1
Fridge,binary,Distributive,16,8,murmur,2,16,0.6129005340453939,0.42964016103717473,0.510141994256154,0.5029408515945127,0.01167,1.0897,0.1
Fridge,binary,Distributive,16,8,murmur,2,64,0.5729305740987984,0.48318111244190287,0.5368079433558348,0.5007823801888472,0.01167,1.088,0.1
Fridge,binary,Distributive,16,8,murmur,2,256,0.5689252336448598,0.4845748115909905,0.5364934707099562,0.4991424668923332,0.01196,1.071,0.1
Fridge,binary,Distributive,16,8,murmur,2,1024,0.5330440587449933,0.49335941436736397,0.528666205906674,0.49533407565769944,0.01184,1.1004,0.1
Fridge,binary,Distributive,16,8,murmur,4,16,0.5821929238985314,0.47707720821628935,0.5354552643480239,0.5016578775461725,0.01307,1.1419,0.1
Fridge,binary,Distributive,16,8,murmur,4,64,0.5818591455273698,0.4809972056199908,0.5379671145133504,0.5043534948631154,0.0122,1.112,0.1
Fridge,binary,Distributive,16,8,murmur,4,256,0.5501502002670227,0.4946024230783068,0.5363226765721725,0.4974246392303581,0.01218,1.1154,0.1
Fridge,binary,Distributive,16,8,murmur,4,1024,0.540720961281709,0.4970854564261943,0.5339716735618475,0.49674275491418723,0.01223,1.1072,0.1
Fridge,binary,Distributive,16,8,murmur,8,16,0.6244993324432577,0.3844257242654613,0.4801472163555929,0.5,0.01264,1.12,0.1
Fridge,binary,Distributive,16,8,murmur,8,64,0.5568257676902537,0.48605624784283924,0.5335435982419138,0.4932112506680919,0.01216,1.1118,0.1
Fridge,binary,Distributive,16,8,murmur,8,256,0.5782710280373832,0.4799861350553174,0.5362782887325697,0.5010873567313974,0.01339,1.1864,0.1
Fridge,binary,Distributive,16,8,murmur,8,1024,0.5370493991989319,0.5007842271221938,0.5342874077652237,0.5016813053031653,0.01271,1.215,0.1
Fridge,binary,Distributive,16,8,simhash,2,16,0.5943758344459279,0.4570473025330323,0.5250393946564902,0.5005076904804322,0.0459,3.0269,0.1
Fridge,binary,Distributive,16,8,simhash,2,64,0.5740987983978638,0.48142983707765624,0.5360141601292748,0.49747755211117056,0.03607,2.7631,0.1
Fridge,binary,Distributive,16,8,simhash,2,256,0.5578271028037384,0.4938374966677662,0.5386497437247343,0.5006454064968229,0.03513,2.7584,0.1
Fridge,binary,Distributive,16,8,simhash,2,1024,0.5923731642189586,0.45039380243198257,0.5199499369866265,0.4966351921135459,0.03556,2.7553,0.1
