dataset,n_features,n_samples,a,t,scoring,fraction,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Banknote,4,1372,8,8,fisher,0.1,0.7146666666666666,0.756848484848485,0.042181818181818174,0.042942944178927,0.08215788322669769,30,n.s.
Banknote,4,1372,8,8,fisher,0.05,0.7146666666666666,0.756848484848485,0.042181818181818174,0.042942944178927,0.08215788322669769,30,n.s.
Yeast,8,1484,10,8,validation,1.0,0.45881032547699224,0.4771043771043771,0.018294051627384955,0.01292146595935722,0.01734147504136943,30,n.s.
Yeast,8,1484,10,8,validation,0.75,0.4510662177328844,0.46599326599326585,0.014927048260381597,0.01185044917328796,0.026355454198517463,30,n.s.
Yeast,8,1484,10,8,validation,0.5,0.444668911335578,0.45185185185185184,0.0071829405162738445,0.012265802104572473,0.3040896147079847,30,n.s.
Yeast,8,1484,10,8,validation,0.25,0.407070707070707,0.4087542087542088,0.0016835016835016852,0.011266053341735999,0.648471444957005,30,n.s.
Yeast,8,1484,10,8,validation,0.1,0.3699214365881032,0.3818181818181818,0.011896745230078562,0.010955098444206406,0.04531419578093761,30,n.s.
Yeast,8,1484,10,8,validation,0.05,0.3699214365881032,0.3818181818181818,0.011896745230078562,0.010955098444206406,0.04531419578093761,30,n.s.
Yeast,8,1484,10,8,fisher,1.0,0.45881032547699224,0.4771043771043771,0.018294051627384955,0.01292146595935722,0.01734147504136943,30,n.s.
Yeast,8,1484,10,8,fisher,0.75,0.429405162738496,0.4520763187429854,0.022671156004489344,0.013168023077731328,0.002404445036511183,30,n.s.
Yeast,8,1484,10,8,fisher,0.5,0.40998877665544325,0.4332210998877665,0.023232323232323233,0.013720639091584285,0.003252278299860053,30,n.s.
Yeast,8,1484,10,8,fisher,0.25,0.35970819304152635,0.38226711560044896,0.022558922558922553,0.014955851959039385,0.008052775345216288,30,n.s.
Yeast,8,1484,10,8,fisher,0.1,0.33108866442199775,0.34624017957351294,0.015151515151515147,0.010728937186533763,0.026612450165089178,30,n.s.
Yeast,8,1484,10,8,fisher,0.05,0.33108866442199775,0.34624017957351294,0.015151515151515147,0.010728937186533763,0.026612450165089178,30,n.s.
Steel Plates,33,1941,10,8,validation,1.0,0.8580976863753215,0.8751499571550985,0.0170522707797772,0.012425513812182,0.016491142087462798,30,n.s.
