system,dataset,mem_band,best_acc_in_band,hp_id_at_best,n_seeds
DT,Glass,1-10KB,0.7162790697674419,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
DT,Glass,10-100KB,0.7069767441860465,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,Haberman,1-10KB,0.7612903225806452,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 4, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
DT,Haberman,10-100KB,0.6258064516129032,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 32, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,Ionosphere,1-10KB,0.9014084507042254,"{""ccp_alpha"": 0.01, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 50}",5
DT,Iris,1-10KB,0.9666666666666668,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
DT,Letter Recognition,10-100KB,0.7195,"{""ccp_alpha"": 0.001, ""criterion"": ""gini"", ""max_depth"": 32, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",3
DT,Letter Recognition,100KB-1MB,0.8851666666666667,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 32, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",3
DT,Letter Recognition,>1MB,0.8738333333333334,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 32, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",3
DT,Magic Gamma,1-10KB,0.8426393270241851,"{""ccp_alpha"": 0.001, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
DT,Magic Gamma,10-100KB,0.8442691903259727,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20, ""min_samples_split"": 2}",5
DT,Magic Gamma,100KB-1MB,0.8288117770767613,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 10}",5
DT,Pendigits,1-10KB,0.8277398817644384,"{""ccp_alpha"": 0.01, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
DT,Pendigits,10-100KB,0.9628922237380628,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,Pima Diabetes,1-10KB,0.7701298701298701,"{""ccp_alpha"": 0.01, ""criterion"": ""entropy"", ""max_depth"": 16, ""min_samples_leaf"": 20, ""min_samples_split"": 10}",5
DT,Pima Diabetes,10-100KB,0.7194805194805195,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,SatImage,1-10KB,0.8581648522550545,"{""ccp_alpha"": 0.001, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 20, ""min_samples_split"": 10}",5
DT,SatImage,10-100KB,0.8682737169517886,"{""ccp_alpha"": 0.001, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
