system,dataset,criterion,hp_id,mean_acc,mean_mem_bytes,mean_train_s,mean_infer_us_per_sample,n_seeds_aggregated
CatBoost,Breast Cancer,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.9754385964912281,40836.8,0.12126099180895836,2.618494500781883,5
CatBoost,EEG Eye State,best_acc,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9561637739207832,2112482.6666666665,3.807190458949966,0.4245290393030506,3
CatBoost,EEG Eye State,best_mem_at_iso_acc,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9561637739207832,2112482.6666666665,3.807190458949966,0.4245290393030506,3
CatBoost,EEG Eye State,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8093012906097018,40874.666666666664,0.12597348599229008,0.2872394192690286,3
CatBoost,EEG Eye State,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.8093012906097018,40874.666666666664,0.12597348599229008,0.2872394192690286,3
CatBoost,Ecoli,best_acc,"{""depth"": 8, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9117647058823529,1741648.0,0.3529166526471575,4.04473051757497,3
CatBoost,Ecoli,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9068627450980392,620176.0,0.17564566670140871,3.768789111727885,3
CatBoost,Ecoli,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9019607843137255,129192.0,0.036679569321374096,3.5902793409631535,3
CatBoost,Glass,best_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.8093023255813954,104486.4,0.051979983178898695,4.65872080260238,5
CatBoost,Glass,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.8093023255813954,104486.4,0.051979983178898695,4.65872080260238,5
CatBoost,Glass,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.8093023255813954,104486.4,0.051979983178898695,4.65872080260238,5
CatBoost,Haberman,best_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03}",0.7548387096774193,39131.2,0.00652713340241462,3.388168049916145,5
CatBoost,Haberman,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03}",0.7548387096774193,39131.2,0.00652713340241462,3.388168049916145,5
CatBoost,Haberman,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03}",0.7548387096774193,39131.2,0.00652713340241462,3.388168049916145,5
CatBoost,Haberman,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03}",0.7548387096774193,39131.2,0.00652713340241462,3.388168049916145,5
CatBoost,Ionosphere,best_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9530516431924884,41229.333333333336,0.1118340416578576,4.046948018872961,3
