method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
Random,Breast Cancer,16,8,1,0.9532163742690055,19351.333333333332,0.0007714777719229459,3.898221310445963,30
F4RM,Breast Cancer,16,8,2,0.9479532163742689,19843.5,0.0007840222446247935,3.919712600042249,30
Random,Breast Cancer,16,8,2,0.9438596491228068,19351.333333333332,0.000766381974487255,3.897039218375469,30
F4RM,Breast Cancer,16,8,3,0.9298245614035089,19843.5,0.0007853153394535184,3.8577847547654867,30
Random,Breast Cancer,16,8,3,0.9333333333333333,19351.333333333332,0.0007637306000106037,3.860258069760793,30
F4RM,Breast Cancer,16,8,4,0.9043859649122806,19843.5,0.0007879389023097853,3.9053724109255086,30
Random,Breast Cancer,16,8,4,0.9122807017543859,19351.333333333332,0.0007868874197204908,3.9266205218495336,30
F4RM,Breast Cancer,20,8,1,0.9350877192982457,20344.833333333332,0.0007086861180141569,3.508090760493488,30
Random,Breast Cancer,20,8,1,0.9429824561403508,19819.833333333332,0.0006913152717364331,3.497321083760488,30
F4RM,Breast Cancer,20,8,2,0.8657894736842107,20344.833333333332,0.0007226014781432847,3.51731255596057,30
Random,Breast Cancer,20,8,2,0.8988304093567251,19819.833333333332,0.0006914832784483831,3.452948839213067,30
F4RM,Breast Cancer,20,8,3,0.7853801169590644,20344.833333333332,0.0007067624130286277,3.4841981495877623,30
Random,Breast Cancer,20,8,3,0.8271929824561403,19819.833333333332,0.0006957789921822647,3.473842632276011,30
F4RM,Breast Cancer,20,8,4,0.7157894736842105,20344.833333333332,0.0007152403200355669,3.473600338632514,30
Random,Breast Cancer,20,8,4,0.7459064327485383,19819.833333333332,0.000700908328872174,3.5123531611320393,30
F4RM,Breast Cancer,24,8,1,0.8654970760233918,19372.833333333332,0.0006636014712663988,3.262853511331374,30
Random,Breast Cancer,24,8,1,0.8865497076023392,19006.5,0.0006458944718663891,3.254483011415044,30
F4RM,Breast Cancer,24,8,2,0.7002923976608189,19372.833333333332,0.0006623861651557187,3.2800921356054946,30
Random,Breast Cancer,24,8,2,0.7441520467836258,19006.5,0.0006406374741345644,3.275986623334867,30
F4RM,Breast Cancer,24,8,3,0.5690058479532163,19372.833333333332,0.0006578097313952942,3.236573977853384,30
Random,Breast Cancer,24,8,3,0.6175438596491226,19006.5,0.00064058608841151,3.261744093738104,30
F4RM,Breast Cancer,24,8,4,0.4994152046783626,19372.833333333332,0.0006693722602600853,3.32767958752811,30
Random,Breast Cancer,24,8,4,0.530701754385965,19006.5,0.0006437763377713661,3.3011091178642564,30
F4RM,Breast Cancer,28,8,1,0.7535087719298248,18723.166666666668,0.0006693527606936793,3.272904136234469,30
Random,Breast Cancer,28,8,1,0.7818713450292396,18488.333333333332,0.0006530943714703123,3.1814569735365823,30
F4RM,Breast Cancer,28,8,2,0.5318713450292397,18723.166666666668,0.0006519457752195497,3.2035689065723054,30
Random,Breast Cancer,28,8,2,0.5751461988304094,18488.333333333332,0.0006303138992128273,3.188937304715751,30
F4RM,Breast Cancer,28,8,3,0.4488304093567252,18723.166666666668,0.0006531137662629286,3.193566345538922,30
Random,Breast Cancer,28,8,3,0.46988304093567257,18488.333333333332,0.0006321515034263332,3.187147095766768,30
F4RM,Breast Cancer,28,8,4,0.4078947368421053,18723.166666666668,0.0006587888696230948,3.2155340188863675,30
Random,Breast Cancer,28,8,4,0.42046783625731005,18488.333333333332,0.0006328444578684866,3.2077366772124116,30
F4RM,Breast Cancer,32,8,1,0.6090643274853801,17296.333333333332,0.000633527726555864,3.035647123344025,30
Random,Breast Cancer,32,8,1,0.6388888888888887,17187.333333333332,0.000612311135046184,3.101291817106437,30
F4RM,Breast Cancer,32,8,2,0.4324561403508772,17296.333333333332,0.0006353597932805617,3.0778137400572065,30
Random,Breast Cancer,32,8,2,0.45935672514619885,17187.333333333332,0.000608562573324889,3.0814456598212323,30
F4RM,Breast Cancer,32,8,3,0.3926900584795322,17296.333333333332,0.0006398040296820303,3.068555556292161,30
Random,Breast Cancer,32,8,3,0.4020467836257311,17187.333333333332,0.000610016876210769,3.0831502592572346,30
F4RM,Breast Cancer,32,8,4,0.37894736842105264,17296.333333333332,0.0006371235940605402,3.077718088871728,30
Random,Breast Cancer,32,8,4,0.3836257309941521,17187.333333333332,0.000622223635825018,3.1005724929599907,30
F4RM,Breast Cancer,48,8,1,0.3944444444444445,11309.5,0.000542891665827483,2.585441433710226,30
Random,Breast Cancer,48,8,1,0.38625730994152047,11304.0,0.0005155987727145354,2.5560555854343874,30
F4RM,Breast Cancer,48,8,2,0.36900584795321634,11309.5,0.0005424666334874928,2.581005499355103,30
Random,Breast Cancer,48,8,2,0.36842105263157887,11304.0,0.0005218583974055946,2.6051280135016524,30
F4RM,Breast Cancer,48,8,3,0.36842105263157887,11309.5,0.0005393652711063624,2.5377076456857006,30
Random,Breast Cancer,48,8,3,0.36842105263157887,11304.0,0.0005259487622727951,2.5775587208002633,30
F4RM,Breast Cancer,48,8,4,0.36842105263157887,11309.5,0.0005433694381887714,2.5740128190240323,30
Random,Breast Cancer,48,8,4,0.36842105263157887,11304.0,0.0005279457002567748,2.581372207618857,30
F4RM,Breast Cancer,64,8,1,0.37134502923976603,9092.0,0.0005396028398536145,2.4763517672664412,30
Random,Breast Cancer,64,8,1,0.3707602339181287,9090.833333333334,0.0005190041614696383,2.5253648984066226,30
F4RM,Breast Cancer,64,8,2,0.36842105263157887,9092.0,0.0005358958228801687,2.5064815162566663,30
Random,Breast Cancer,64,8,2,0.36842105263157887,9090.833333333334,0.0005164125390971701,2.471929244501026,30
F4RM,Breast Cancer,64,8,3,0.36842105263157887,9092.0,0.000543465247998635,2.53513663713085,30
Random,Breast Cancer,64,8,3,0.36842105263157887,9090.833333333334,0.0005175639797622959,2.4861001548471675,30
