dataset,n_features,n_samples,a,t,bleach,random_mean,random_std,f4rm_mean,f4rm_std,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
SatImage,36,6430,12,8,3,0.8631881804043546,0.009412121470458015,0.8646500777604976,0.010440244788294608,0.001461897356143076,0.002380984160049984,0.30440623608820794,50,n.s.
SatImage,36,6430,12,8,4,0.8652721617418352,0.009600862406718164,0.8655054432348365,0.00881995436245242,0.00023328149300155365,0.0023260388888539218,0.6553674103968621,50,n.s.
Pendigits,16,10992,13,8,1,0.9591905411550705,0.006553256557412318,0.9679399727148703,0.005144318115149916,0.00874943155979991,0.0020537064793266055,6.428047589275488e-08,50,+++
Pendigits,16,10992,13,8,2,0.9665939063210551,0.005262701549917083,0.9726421100500227,0.004498402955909428,0.006048203728967709,0.0014832239284568514,5.460650939821933e-08,50,+++
Pendigits,16,10992,13,8,3,0.967476125511596,0.004858239832564273,0.9722874033651661,0.004616976631159478,0.0048112778535698,0.0014288491064065457,8.628753959650938e-07,50,+++
Pendigits,16,10992,13,8,4,0.9659390632105501,0.004384267900478725,0.9700409276944063,0.005051923545937537,0.004101864483856302,0.00146391216118005,7.897712257344297e-06,50,+++
EEG Eye State,14,14980,13,8,1,0.6978237650200266,0.011998305181213803,0.7350734312416556,0.009861670543768393,0.03724966622162884,0.003993137619449706,7.548390027588037e-10,50,+++
EEG Eye State,14,14980,13,8,2,0.7204339118825099,0.010808314210582483,0.753351134846462,0.009970107253323314,0.03291722296395193,0.003495021726877027,8.020235040373894e-10,50,+++
EEG Eye State,14,14980,13,8,3,0.7300066755674233,0.010653679173516685,0.7605540720961282,0.008901182575656471,0.03054739652870493,0.003307262063480559,7.548390027588037e-10,50,+++
EEG Eye State,14,14980,13,8,4,0.7350534045393858,0.011098132633701218,0.7639385847797062,0.00965960062159458,0.028885180240320416,0.0034854781526584906,7.543270531852816e-10,50,+++
Magic Gamma,10,19020,14,8,1,0.7664143007360674,0.011375238524713878,0.7837749737118823,0.007928747627411236,0.017360672975814936,0.003771336460834496,8.995276627437873e-09,50,+++
Magic Gamma,10,19020,14,8,2,0.7879284963196637,0.010810079415789193,0.8011198738170348,0.008692085254979026,0.013191377497371197,0.0036364910012573913,1.2215381747320795e-07,50,+++
Magic Gamma,10,19020,14,8,3,0.7971871713985279,0.009671019308378555,0.8064773922187171,0.00865601406812365,0.009290220820189288,0.0034244967593600162,1.2244409975723038e-05,50,+++
Magic Gamma,10,19020,14,8,4,0.8015667718191378,0.009439453755022002,0.809106203995794,0.008096161955956617,0.007539432176656154,0.003442417326810799,0.00024658381454092145,50,+++
Letter Recognition,16,20000,14,8,1,0.8533399999999999,0.009241206520751688,0.8740850000000002,0.006484992486581645,0.020744999999999996,0.002476397391373201,1.2532826627526425e-09,50,+++
Letter Recognition,16,20000,14,8,2,0.8462850000000002,0.006933358066740288,0.8601749999999998,0.005932926541508735,0.013890000000000012,0.0022450325966453136,2.054133478127873e-09,50,+++
Letter Recognition,16,20000,14,8,3,0.83087,0.007896369612753983,0.841025,0.007198222924118563,0.010155,0.002401556670162085,2.8421258765991025e-08,50,+++
Letter Recognition,16,20000,14,8,4,0.81489,0.00855715478177084,0.82273,0.006871606769296159,0.007839999999999991,0.0023683912176834304,8.497789639024766e-07,50,+++
