dataset,n_features,n_samples,a,t,K,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Yeast,8,1484,10,8,50,0.5843995510662179,0.5951739618406283,0.010774410774410763,0.006433395185361149,0.004884525823124262,30,n.s.
Yeast,8,1484,10,8,100,0.5951739618406285,0.598989898989899,0.0038159371492704837,0.006665243509865154,0.25326044678076287,30,n.s.
Steel Plates,33,1941,10,8,1,0.8482433590402741,0.8567266495287059,0.008483290488431876,0.009684786425913921,0.1440235927586024,30,n.s.
Steel Plates,33,1941,10,8,5,0.9357326478149102,0.9454155955441303,0.009682947729220234,0.006503332787112979,0.010025415726687492,30,n.s.
Steel Plates,33,1941,10,8,10,0.9495287060839761,0.9625535561268208,0.013024850042844904,0.0044671708384791215,3.746289160049834e-05,30,+++
Steel Plates,33,1941,10,8,25,0.9597257926306768,0.9707797772065123,0.011053984575835474,0.004226968130396234,8.456985738349001e-05,30,+++
Steel Plates,33,1941,10,8,50,0.96426735218509,0.9740359897172236,0.009768637532133676,0.0033070947269465403,1.3241581568097642e-05,30,+++
Steel Plates,33,1941,10,8,100,0.9657240788346185,0.9755784061696658,0.009854327335047142,0.00251154640319912,5.2912617307509755e-06,30,+++
Segment,19,2310,11,8,1,0.9325396825396826,0.9335497835497834,0.0010101010101009945,0.006111519570909837,0.9180410897903026,30,n.s.
Segment,19,2310,11,8,5,0.9572871572871572,0.9582251082251082,0.0009379509379509376,0.002903001192157655,0.4991303041039785,30,n.s.
Segment,19,2310,11,8,10,0.9606782106782107,0.960894660894661,0.00021645021645021097,0.0018458706697641635,0.8984750484423337,30,n.s.
Segment,19,2310,11,8,25,0.9643578643578644,0.9619047619047618,-0.0024531024531024553,0.001375580135563762,0.007996647741756242,30,n.s.
Segment,19,2310,11,8,50,0.9654401154401153,0.9624819624819625,-0.0029581529581529744,0.0013413153098597926,0.0002650771247053397,30,---
Segment,19,2310,11,8,100,0.9656565656565658,0.9627705627705628,-0.0028860028860028955,0.0011743805231842026,0.0001661007305099748,30,---
Waveform,40,5000,12,8,1,0.7734000000000001,0.7794666666666666,0.0060666666666666725,0.005588091092102911,0.03961326387758455,30,n.s.
Waveform,40,5000,12,8,5,0.8288666666666665,0.8324333333333335,0.0035666666666666663,0.0035208377703842015,0.05980019572964852,30,n.s.
Waveform,40,5000,12,8,10,0.8373333333333333,0.8391333333333332,0.0018000000000000054,0.003913686870399859,0.33029104678487486,30,n.s.
Waveform,40,5000,12,8,25,0.8422,0.8437333333333331,0.0015333333333333347,0.002700420219888876,0.2684720909637277,30,n.s.
Waveform,40,5000,12,8,50,0.8441666666666666,0.8451999999999998,0.0010333333333333342,0.001718694488062094,0.30348366402484217,30,n.s.
