dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Glass,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.5813953488372092,0.7534883720930232,175.2,0.0
Glass,F4RMS,Random-WiSARD-dense,101,0,101,49,0,49,0.5767441860465116,0.7674418604651163,8003.0,35734.0
Glass,F4RMS,Random-WiSARD-cuckoo,101,0,101,0,0,0,0.5767441860465116,0.7674418604651163,8003.0,7522.4
Glass,F4RMS,DT,101,0,101,0,0,0,0.5767441860465116,0.7162790697674418,8003.0,6684.0
Glass,F4RMS,RF,101,26,75,50,4,35,0.7488372093023256,0.7674418604651163,36196.0,340677.0
Glass,F4RMS,CatBoost,0,0,0,50,0,50,0.7751937984496123,0.7674418604651163,104328.0,104486.4
Glass,F4RMS,XGBoost,101,101,0,0,0,0,0.7581395348837209,0.7674418604651163,404410.6,340677.0
Glass,F4RMS,LightGBM,101,101,0,50,50,0,0.7023255813953487,0.7674418604651163,335489.0,340677.0
Glass,F4RMS,MLP,0,0,0,49,49,0,0.5767441860465116,0.46976744186046504,8003.0,340677.0
Glass,F4RMS,FT-Transformer,0,0,0,50,50,0,0.5767441860465116,0.3953488372093023,71224.0,340677.0
Glass,F4RMS,TabPFN,0,0,0,0,0,0,0.5767441860465116,0.7674418604651163,8003.0,0.0
Haberman,F4RM-WiSARD-dense,Random-WiSARD-dense,101,50,51,50,50,0,0.7419354838709677,0.7483870967741936,120.0,1072.0
Haberman,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,0,0,0,0.7419354838709677,0.7483870967741936,120.0,225.4
Haberman,F4RM-WiSARD-dense,DT,101,101,0,50,50,0,0.7419354838709677,0.7483870967741936,1238.0,1607.0
Haberman,F4RM-WiSARD-dense,RF,0,0,0,0,0,0,0.7419354838709677,0.7258064516129032,35016.0,1607.0
Haberman,F4RM-WiSARD-dense,CatBoost,0,0,0,0,0,0,0.7548387096774194,0.7483870967741936,39131.2,1607.0
Haberman,F4RM-WiSARD-dense,XGBoost,0,0,0,0,0,0,0.7419354838709677,0.732258064516129,131495.8,1607.0
Haberman,F4RM-WiSARD-dense,LightGBM,0,0,0,0,0,0,0.7419354838709677,0.7387096774193548,90323.8,1607.0
Haberman,F4RM-WiSARD-dense,MLP,101,101,0,50,50,0,0.7419354838709677,0.7419354838709677,644.0,1607.0
Haberman,F4RM-WiSARD-dense,FT-Transformer,101,101,0,0,0,0,0.7419354838709677,0.7473118279569894,69160.0,1607.0
Haberman,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.7419354838709677,0.7483870967741936,120.0,0.0
Haberman,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,101,0,0,0,0,0.7419354838709677,0.7483870967741936,118.0,337.8
Haberman,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,50,51,0,0,0,0.7419354838709677,0.7483870967741936,25.0,225.4
Haberman,F4RM-WiSARD-cuckoo,DT,101,101,0,0,0,0,0.7419354838709677,0.7483870967741936,1238.0,337.8
Haberman,F4RM-WiSARD-cuckoo,RF,0,0,0,0,0,0,0.7419354838709677,0.7258064516129032,35016.0,337.8
Haberman,F4RM-WiSARD-cuckoo,CatBoost,0,0,0,0,0,0,0.7548387096774194,0.7483870967741936,39131.2,337.8
Haberman,F4RM-WiSARD-cuckoo,XGBoost,0,0,0,0,0,0,0.7419354838709677,0.732258064516129,131495.8,337.8
Haberman,F4RM-WiSARD-cuckoo,LightGBM,0,0,0,0,0,0,0.7419354838709677,0.7387096774193548,90323.8,337.8
Haberman,F4RM-WiSARD-cuckoo,MLP,101,101,0,0,0,0,0.7419354838709677,0.7419354838709677,644.0,337.8
Haberman,F4RM-WiSARD-cuckoo,FT-Transformer,101,101,0,0,0,0,0.7419354838709677,0.7473118279569894,69160.0,337.8
Haberman,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.7419354838709677,0.7483870967741936,25.0,0.0
Haberman,F4RMS,Random-WiSARD-dense,0,0,0,0,0,0,0.7419354838709677,0.7419354838709676,1656.0,1072.0
Haberman,F4RMS,Random-WiSARD-cuckoo,0,0,0,0,0,0,0.7419354838709677,0.7419354838709676,1656.0,225.4
